dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
30/09/2020,30,9,2020,23,0,China,CN,CHN,1433783692,Asia,0.01987748
29/09/2020,29,9,2020,22,0,China,CN,CHN,1433783692,Asia,0.01994722
28/09/2020,28,9,2020,27,0,China,CN,CHN,1433783692,Asia,0.01994722
27/09/2020,27,9,2020,15,0,China,CN,CHN,1433783692,Asia,0.02008671
26/09/2020,26,9,2020,17,1,China,CN,CHN,1433783692,Asia,0.02064468
25/09/2020,25,9,2020,15,0,China,CN,CHN,1433783692,Asia,0.02071442
24/09/2020,24,9,2020,10,1,China,CN,CHN,1433783692,Asia,0.02155137
23/09/2020,23,9,2020,18,0,China,CN,CHN,1433783692,Asia,0.0217606
22/09/2020,22,9,2020,12,0,China,CN,CHN,1433783692,Asia,0.02106315
21/09/2020,21,9,2020,36,0,China,CN,CHN,1433783692,Asia,0.02169086
20/09/2020,20,9,2020,25,0,China,CN,CHN,1433783692,Asia,0.02148162
19/09/2020,19,9,2020,14,1,China,CN,CHN,1433783692,Asia,0.02092366
18/09/2020,18,9,2020,44,0,China,CN,CHN,1433783692,Asia,0.02148162
17/09/2020,17,9,2020,7,0,China,CN,CHN,1433783692,Asia,0.02071442
16/09/2020,16,9,2020,24,1,China,CN,CHN,1433783692,Asia,0.02155137
15/09/2020,15,9,2020,22,1,China,CN,CHN,1433783692,Asia,0.02127239
14/09/2020,14,9,2020,29,0,China,CN,CHN,1433783692,Asia,0.02106315
13/09/2020,13,9,2020,23,1,China,CN,CHN,1433783692,Asia,0.02127239
12/09/2020,12,9,2020,18,0,China,CN,CHN,1433783692,Asia,0.02155137
11/09/2020,11,9,2020,27,0,China,CN,CHN,1433783692,Asia,0.02183035
10/09/2020,10,9,2020,13,0,China,CN,CHN,1433783692,Asia,0.02203959
09/09/2020,9,9,2020,8,1,China,CN,CHN,1433783692,Asia,0.02336475
08/09/2020,8,9,2020,21,2,China,CN,CHN,1433783692,Asia,0.02517814
07/09/2020,7,9,2020,33,2,China,CN,CHN,1433783692,Asia,0.02531763
06/09/2020,6,9,2020,17,0,China,CN,CHN,1433783692,Asia,0.02587559
05/09/2020,5,9,2020,22,0,China,CN,CHN,1433783692,Asia,0.02734025
04/09/2020,4,9,2020,33,1,China,CN,CHN,1433783692,Asia,0.02922338
03/09/2020,3,9,2020,19,3,China,CN,CHN,1433783692,Asia,0.02971159
02/09/2020,2,9,2020,20,1,China,CN,CHN,1433783692,Asia,0.03068803
01/09/2020,1,9,2020,19,1,China,CN,CHN,1433783692,Asia,0.03298963
31/08/2020,31,8,2020,32,1,China,CN,CHN,1433783692,Asia,0.03626767
30/08/2020,30,8,2020,27,3,China,CN,CHN,1433783692,Asia,0.04073139
29/08/2020,29,8,2020,22,3,China,CN,CHN,1433783692,Asia,0.04338172
28/08/2020,28,8,2020,30,2,China,CN,CHN,1433783692,Asia,0.0467295
27/08/2020,27,8,2020,32,1,China,CN,CHN,1433783692,Asia,0.05154194
26/08/2020,26,8,2020,34,1,China,CN,CHN,1433783692,Asia,0.05495948
25/08/2020,25,8,2020,23,0,China,CN,CHN,1433783692,Asia,0.05663337
24/08/2020,24,8,2020,41,0,China,CN,CHN,1433783692,Asia,0.06291047
23/08/2020,23,8,2020,38,0,China,CN,CHN,1433783692,Asia,0.06849011
22/08/2020,22,8,2020,49,2,China,CN,CHN,1433783692,Asia,0.07225637
21/08/2020,21,8,2020,40,3,China,CN,CHN,1433783692,Asia,0.0772083
20/08/2020,20,8,2020,33,1,China,CN,CHN,1433783692,Asia,0.08362489
19/08/2020,19,8,2020,53,2,China,CN,CHN,1433783692,Asia,0.08983224
18/08/2020,18,8,2020,66,0,China,CN,CHN,1433783692,Asia,0.0935985
17/08/2020,17,8,2020,96,0,China,CN,CHN,1433783692,Asia,0.09694628
16/08/2020,16,8,2020,65,2,China,CN,CHN,1433783692,Asia,0.10127051
15/08/2020,15,8,2020,70,1,China,CN,CHN,1433783692,Asia,0.10873328
14/08/2020,14,8,2020,99,3,China,CN,CHN,1433783692,Asia,0.11542885
13/08/2020,13,8,2020,81,4,China,CN,CHN,1433783692,Asia,0.12777381
12/08/2020,12,8,2020,58,3,China,CN,CHN,1433783692,Asia,0.13767767
11/08/2020,11,8,2020,113,4,China,CN,CHN,1433783692,Asia,0.14806976
10/08/2020,10,8,2020,121,5,China,CN,CHN,1433783692,Asia,0.15504431
09/08/2020,9,8,2020,92,0,China,CN,CHN,1433783692,Asia,0.159787
08/08/2020,8,8,2020,120,1,China,CN,CHN,1433783692,Asia,0.16585486
07/08/2020,7,8,2020,132,3,China,CN,CHN,1433783692,Asia,0.16843545
06/08/2020,6,8,2020,122,1,China,CN,CHN,1433783692,Asia,0.16892367
05/08/2020,5,8,2020,107,4,China,CN,CHN,1433783692,Asia,0.16983036
04/08/2020,4,8,2020,114,3,China,CN,CHN,1433783692,Asia,0.16752876
03/08/2020,3,8,2020,158,2,China,CN,CHN,1433783692,Asia,0.16543639
02/08/2020,2,8,2020,172,6,China,CN,CHN,1433783692,Asia,0.16348352
01/08/2020,1,8,2020,166,2,China,CN,CHN,1433783692,Asia,0.15706693
31/07/2020,31,7,2020,276,0,China,CN,CHN,1433783692,Asia,0.15106881
30/07/2020,30,7,2020,223,2,China,CN,CHN,1433783692,Asia,0.13718945
29/07/2020,29,7,2020,207,1,China,CN,CHN,1433783692,Asia,0.12303111
28/07/2020,28,7,2020,213,4,China,CN,CHN,1433783692,Asia,0.11236004
27/07/2020,27,7,2020,189,0,China,CN,CHN,1433783692,Asia,0.10134025
26/07/2020,26,7,2020,179,2,China,CN,CHN,1433783692,Asia,0.09136664
25/07/2020,25,7,2020,157,1,China,CN,CHN,1433783692,Asia,0.08132329
24/07/2020,24,7,2020,139,1,China,CN,CHN,1433783692,Asia,0.07316306
23/07/2020,23,7,2020,135,0,China,CN,CHN,1433783692,Asia,0.06667672
22/07/2020,22,7,2020,74,2,China,CN,CHN,1433783692,Asia,0.05956268
21/07/2020,21,7,2020,84,0,China,CN,CHN,1433783692,Asia,0.05586617
20/07/2020,20,7,2020,130,0,China,CN,CHN,1433783692,Asia,0.05175118
19/07/2020,19,7,2020,80,1,China,CN,CHN,1433783692,Asia,0.0436607
18/07/2020,18,7,2020,80,1,China,CN,CHN,1433783692,Asia,0.03933648
17/07/2020,17,7,2020,77,0,China,CN,CHN,1433783692,Asia,0.03438455
16/07/2020,16,7,2020,20,2,China,CN,CHN,1433783692,Asia,0.02999058
15/07/2020,15,7,2020,54,0,China,CN,CHN,1433783692,Asia,0.03075778
14/07/2020,14,7,2020,55,1,China,CN,CHN,1433783692,Asia,0.02734025
13/07/2020,13,7,2020,46,0,China,CN,CHN,1433783692,Asia,0.02510839
12/07/2020,12,7,2020,35,0,China,CN,CHN,1433783692,Asia,0.02287653
11/07/2020,11,7,2020,40,0,China,CN,CHN,1433783692,Asia,0.02169086
10/07/2020,10,7,2020,46,0,China,CN,CHN,1433783692,Asia,0.02057493
09/07/2020,9,7,2020,33,0,China,CN,CHN,1433783692,Asia,0.01931951
08/07/2020,8,7,2020,21,0,China,CN,CHN,1433783692,Asia,0.01841282
07/07/2020,7,7,2020,25,0,China,CN,CHN,1433783692,Asia,0.01897078
06/07/2020,6,7,2020,14,0,China,CN,CHN,1433783692,Asia,0.02085391
05/07/2020,5,7,2020,18,0,China,CN,CHN,1433783692,Asia,0.02120264
04/07/2020,4,7,2020,9,0,China,CN,CHN,1433783692,Asia,0.02196984
03/07/2020,3,7,2020,14,0,China,CN,CHN,1433783692,Asia,0.0234345
02/07/2020,2,7,2020,31,0,China,CN,CHN,1433783692,Asia,0.0249689
01/07/2020,1,7,2020,5,0,China,CN,CHN,1433783692,Asia,0.02531763
30/06/2020,30,6,2020,23,0,China,CN,CHN,1433783692,Asia,0.0280377
